"","tffam","enzloc","adj.p"
"642","CCAAT-DR1","OGDH_mitochondrion",1
"643","CCAAT-HAP2","OGDH_mitochondrion",1
"644","CCAAT-HAP3","OGDH_mitochondrion",1
"645","CCAAT-HAP5","OGDH_mitochondrion",1
"646","CPP","OGDH_mitochondrion",1
"647","E2F-DP","OGDH_mitochondrion",1
"648","EIL","OGDH_mitochondrion",1
"649","G2-like","OGDH_mitochondrion",1
"650","GeBP","OGDH_mitochondrion",0.00753523969067345
"651","GRAS","OGDH_mitochondrion",1
"652","GRF","OGDH_mitochondrion",1
"653","Homeobox","OGDH_mitochondrion",1
"654","HSF","OGDH_mitochondrion",1
"655","LBD","OGDH_mitochondrion",0.26393454463245
"656","MADS","OGDH_mitochondrion",1
"657","MYB","OGDH_mitochondrion",1
"658","MYB-related","OGDH_mitochondrion",1
"659","NAC","OGDH_mitochondrion",1
"660","NLP","OGDH_mitochondrion",1
"661","PHD","OGDH_mitochondrion",1
"662","RAV","OGDH_mitochondrion",0.00658503397287004
"663","REM","OGDH_mitochondrion",1
"664","SBP","OGDH_mitochondrion",1
"665","TCP","OGDH_mitochondrion",1
"666","Trihelix","OGDH_mitochondrion",0.000265248125342005
"667","TUB","OGDH_mitochondrion",1
"668","VOZ","OGDH_mitochondrion",1
"669","Whirly","OGDH_mitochondrion",1
"670","WRKY","OGDH_mitochondrion",1
"671","ZF-HD","OGDH_mitochondrion",1
"672","ZIM","OGDH_mitochondrion",1
"673","ABI3VP1","PDH_mitochondrion",1
"674","Alfin-like","PDH_mitochondrion",1
"675","AP2-EREBP","PDH_mitochondrion",1
"676","ARF","PDH_mitochondrion",1
"677","ARID","PDH_mitochondrion",1
"678","ARR-B","PDH_mitochondrion",1
"679","BBR/BPC","PDH_mitochondrion",1
"680","bHLH","PDH_mitochondrion",1
"681","bZIP","PDH_mitochondrion",1
"682","BZR","PDH_mitochondrion",1
"683","C2C2-CO-like","PDH_mitochondrion",1
"684","C2C2-Dof","PDH_mitochondrion",0.166989739478071
"685","C2C2-Gata","PDH_mitochondrion",0.437408168140999
"686","C2C2-YABBY","PDH_mitochondrion",1
"687","C2H2","PDH_mitochondrion",1
"688","C3H","PDH_mitochondrion",1
"689","CAMTA","PDH_mitochondrion",1
"690","CCAAT-DR1","PDH_mitochondrion",1
"691","CCAAT-HAP2","PDH_mitochondrion",1
"692","CCAAT-HAP3","PDH_mitochondrion",1
"693","CCAAT-HAP5","PDH_mitochondrion",1
"694","CPP","PDH_mitochondrion",1
"695","E2F-DP","PDH_mitochondrion",1
"696","EIL","PDH_mitochondrion",1
"697","G2-like","PDH_mitochondrion",1.72460134044472e-05
"698","GeBP","PDH_mitochondrion",1
"699","GRAS","PDH_mitochondrion",1
"700","GRF","PDH_mitochondrion",1
"701","Homeobox","PDH_mitochondrion",1
"702","HSF","PDH_mitochondrion",1
"703","LBD","PDH_mitochondrion",0.00818383351629273
"704","MADS","PDH_mitochondrion",1
"705","MYB","PDH_mitochondrion",1
"706","MYB-related","PDH_mitochondrion",1
"707","NAC","PDH_mitochondrion",1
"708","NLP","PDH_mitochondrion",1
"709","PHD","PDH_mitochondrion",1
"710","RAV","PDH_mitochondrion",1
"711","REM","PDH_mitochondrion",1
"712","SBP","PDH_mitochondrion",1
"713","TCP","PDH_mitochondrion",1
"714","Trihelix","PDH_mitochondrion",0.688692737760887
"715","TUB","PDH_mitochondrion",1
"716","VOZ","PDH_mitochondrion",1
"717","Whirly","PDH_mitochondrion",1
"718","WRKY","PDH_mitochondrion",1
"719","ZF-HD","PDH_mitochondrion",1
"720","ZIM","PDH_mitochondrion",1
"721","ABI3VP1","PDH_plastid",1
"722","Alfin-like","PDH_plastid",1
"723","AP2-EREBP","PDH_plastid",1
"724","ARF","PDH_plastid",1
"725","ARID","PDH_plastid",0.801169017027881
"726","ARR-B","PDH_plastid",1
"727","BBR/BPC","PDH_plastid",0.07431295078395
"728","bHLH","PDH_plastid",0.199664028993735
"729","bZIP","PDH_plastid",0.00267902568631283
"730","BZR","PDH_plastid",0.205894901490742
"731","C2C2-CO-like","PDH_plastid",1
"732","C2C2-Dof","PDH_plastid",1
"733","C2C2-Gata","PDH_plastid",1
"734","C2C2-YABBY","PDH_plastid",1
"735","C2H2","PDH_plastid",1
"736","C3H","PDH_plastid",1
"737","CAMTA","PDH_plastid",1
"738","CCAAT-DR1","PDH_plastid",1
"739","CCAAT-HAP2","PDH_plastid",1
"740","CCAAT-HAP3","PDH_plastid",1
"741","CCAAT-HAP5","PDH_plastid",1
"742","CPP","PDH_plastid",1
"743","E2F-DP","PDH_plastid",1
"744","EIL","PDH_plastid",1
"745","G2-like","PDH_plastid",1
"746","GeBP","PDH_plastid",0.209386326831591
"747","GRAS","PDH_plastid",1
"748","GRF","PDH_plastid",0.574635463249437
"749","Homeobox","PDH_plastid",1
"750","HSF","PDH_plastid",1
"751","LBD","PDH_plastid",0.774133738966094
"752","MADS","PDH_plastid",1
"753","MYB","PDH_plastid",0.807092884467715
"754","MYB-related","PDH_plastid",1
"755","NAC","PDH_plastid",1
"756","NLP","PDH_plastid",1
"757","PHD","PDH_plastid",1
"758","RAV","PDH_plastid",1
"759","REM","PDH_plastid",1
"760","SBP","PDH_plastid",1
"761","TCP","PDH_plastid",1
"762","Trihelix","PDH_plastid",0.205894901490742
"763","TUB","PDH_plastid",1
"764","VOZ","PDH_plastid",1
"765","Whirly","PDH_plastid",1
"766","WRKY","PDH_plastid",1
"767","ZF-HD","PDH_plastid",1
"768","ZIM","PDH_plastid",1
"769","ABI3VP1","SCL_mitochondrion",1
"770","Alfin-like","SCL_mitochondrion",1
"771","AP2-EREBP","SCL_mitochondrion",1
"772","ARF","SCL_mitochondrion",1
"773","ARID","SCL_mitochondrion",1
"774","ARR-B","SCL_mitochondrion",1
"775","BBR/BPC","SCL_mitochondrion",1
"776","bHLH","SCL_mitochondrion",1
"777","bZIP","SCL_mitochondrion",1
"778","BZR","SCL_mitochondrion",1
"779","C2C2-CO-like","SCL_mitochondrion",1
"780","C2C2-Dof","SCL_mitochondrion",1
"781","C2C2-Gata","SCL_mitochondrion",1
"782","C2C2-YABBY","SCL_mitochondrion",1
"783","C2H2","SCL_mitochondrion",1
"784","C3H","SCL_mitochondrion",0.269900793393579
"785","CAMTA","SCL_mitochondrion",1
"786","CCAAT-DR1","SCL_mitochondrion",1
"787","CCAAT-HAP2","SCL_mitochondrion",1
"788","CCAAT-HAP3","SCL_mitochondrion",1
"789","CCAAT-HAP5","SCL_mitochondrion",1
"790","CPP","SCL_mitochondrion",1
"791","E2F-DP","SCL_mitochondrion",1
"792","EIL","SCL_mitochondrion",1
"793","G2-like","SCL_mitochondrion",1
"794","GeBP","SCL_mitochondrion",1
"795","GRAS","SCL_mitochondrion",1
"796","GRF","SCL_mitochondrion",1
"797","Homeobox","SCL_mitochondrion",1
"798","HSF","SCL_mitochondrion",1
"799","LBD","SCL_mitochondrion",0.00514161329369048
"800","MADS","SCL_mitochondrion",1
"801","MYB","SCL_mitochondrion",1
"802","MYB-related","SCL_mitochondrion",1
"803","NAC","SCL_mitochondrion",1
"804","NLP","SCL_mitochondrion",1
"805","PHD","SCL_mitochondrion",0.812889812889812
"806","RAV","SCL_mitochondrion",1
"807","REM","SCL_mitochondrion",1
"808","SBP","SCL_mitochondrion",1
"809","TCP","SCL_mitochondrion",1
"810","Trihelix","SCL_mitochondrion",1
"811","TUB","SCL_mitochondrion",1
"812","VOZ","SCL_mitochondrion",1
"813","Whirly","SCL_mitochondrion",1
"814","WRKY","SCL_mitochondrion",1
"815","ZF-HD","SCL_mitochondrion",1
"816","ZIM","SCL_mitochondrion",1
"817","ABI3VP1","SDH_mitochondrion",1
"818","Alfin-like","SDH_mitochondrion",1
"819","AP2-EREBP","SDH_mitochondrion",1
"820","ARF","SDH_mitochondrion",1
"821","ARID","SDH_mitochondrion",1
"822","ARR-B","SDH_mitochondrion",1
"823","BBR/BPC","SDH_mitochondrion",0.154055441273385
"824","bHLH","SDH_mitochondrion",1
"825","bZIP","SDH_mitochondrion",0.0251401655412838
"826","BZR","SDH_mitochondrion",0.389607598867249
"827","C2C2-CO-like","SDH_mitochondrion",1
"828","C2C2-Dof","SDH_mitochondrion",1
"829","C2C2-Gata","SDH_mitochondrion",1
"830","C2C2-YABBY","SDH_mitochondrion",1
"831","C2H2","SDH_mitochondrion",1
"832","C3H","SDH_mitochondrion",1
"833","CAMTA","SDH_mitochondrion",1
"834","CCAAT-DR1","SDH_mitochondrion",1
"835","CCAAT-HAP2","SDH_mitochondrion",1
"836","CCAAT-HAP3","SDH_mitochondrion",1
"837","CCAAT-HAP5","SDH_mitochondrion",1
"838","CPP","SDH_mitochondrion",1
"839","E2F-DP","SDH_mitochondrion",1
"840","EIL","SDH_mitochondrion",1
"841","G2-like","SDH_mitochondrion",1
"842","GeBP","SDH_mitochondrion",1
"843","GRAS","SDH_mitochondrion",1
"844","GRF","SDH_mitochondrion",1
"845","Homeobox","SDH_mitochondrion",0.0222469106448141
"846","HSF","SDH_mitochondrion",1
"847","LBD","SDH_mitochondrion",1
"848","MADS","SDH_mitochondrion",1
"849","MYB","SDH_mitochondrion",1
"850","MYB-related","SDH_mitochondrion",1
"851","NAC","SDH_mitochondrion",1
"852","NLP","SDH_mitochondrion",1
"853","PHD","SDH_mitochondrion",1
"854","RAV","SDH_mitochondrion",1
"855","REM","SDH_mitochondrion",1
"856","SBP","SDH_mitochondrion",1
"857","TCP","SDH_mitochondrion",1
"858","Trihelix","SDH_mitochondrion",0.522961338641867
"859","TUB","SDH_mitochondrion",1
"860","VOZ","SDH_mitochondrion",1
"861","Whirly","SDH_mitochondrion",1
"862","WRKY","SDH_mitochondrion",1
"863","ZF-HD","SDH_mitochondrion",0.0044590452812728
"864","ZIM","SDH_mitochondrion",1
