ABI3VP1,At3g24650
ABI3VP1,At3g26790
ABI3VP1,At1g28300
ABI3VP1,At2g30470
ABI3VP1,At4g32010
ABI3VP1,At4g21550
ABI3VP1,At1g01030
ABI3VP1,At1g25560
ABI3VP1,At3g18990
ABI3VP1,At3g17010
ABI3VP1,At4g30080
Alfin-like,At1g14510
Alfin-like,At2g02470
Alfin-like,At3g42790
Alfin-like,At5g26210
Alfin-like,At5g05610
Alfin-like,At3g11200
Alfin-like,At5g20510
AP2-EREBP,At4g25480
AP2-EREBP,At4g25470
AP2-EREBP,At4g25490
AP2-EREBP,At5g51990
AP2-EREBP,At1g12610
AP2-EREBP,At1g63030
AP2-EREBP,At5g25810
AP2-EREBP,At3g16280
AP2-EREBP,At5g11590
AP2-EREBP,At1g33760
AP2-EREBP,At4g32800
AP2-EREBP,At1g77200
AP2-EREBP,At3g60490
AP2-EREBP,At2g35700
AP2-EREBP,At2g44940
AP2-EREBP,At1g12630
AP2-EREBP,At1g71450
AP2-EREBP,At4g16750
AP2-EREBP,At2g36450
AP2-EREBP,At1g01250
AP2-EREBP,At1g43160
AP2-EREBP,At4g28140
AP2-EREBP,At2g20880
AP2-EREBP,At4g13620
AP2-EREBP,At1g36060
AP2-EREBP,At1g63040
AP2-EREBP,At2g23340
AP2-EREBP,At2g47520
AP2-EREBP,At2g22200
AP2-EREBP,At4g39780
AP2-EREBP,At5g52020
AP2-EREBP,At4g36900
AP2-EREBP,At1g46768
AP2-EREBP,At2g33710
AP2-EREBP,At5g65130
AP2-EREBP,At5g67190
AP2-EREBP,At5g07310
AP2-EREBP,At3g50260
AP2-EREBP,At2g40220
AP2-EREBP,At5g61890
AP2-EREBP,At1g77640
AP2-EREBP,At3g57600
AP2-EREBP,At1g22190
AP2-EREBP,At1g78080
AP2-EREBP,At5g50080
AP2-EREBP,At3g16770
AP2-EREBP,At5g13330
AP2-EREBP,At1g44830
AP2-EREBP,At1g64380
AP2-EREBP,At1g21910
AP2-EREBP,At5g05410
AP2-EREBP,At3g15210
AP2-EREBP,At1g75490
AP2-EREBP,At5g18450
AP2-EREBP,At3g11020
AP2-EREBP,At5g44210
AP2-EREBP,At4g11140
AP2-EREBP,At5g61600
AP2-EREBP,At1g53170
AP2-EREBP,At5g51190
AP2-EREBP,At4g27950
AP2-EREBP,At5g53290
AP2-EREBP,At4g34410
AP2-EREBP,At1g53910
AP2-EREBP,At5g64750
AP2-EREBP,At1g19210
AP2-EREBP,At1g72360
AP2-EREBP,At3g14230
AP2-EREBP,At2g46310
AP2-EREBP,At3g61630
AP2-EREBP,At4g23750
AP2-EREBP,At2g40340
AP2-EREBP,At1g03800
AP2-EREBP,At1g04370
AP2-EREBP,At5g43410
AP2-EREBP,At5g19790
AP2-EREBP,At1g28360
AP2-EREBP,At1g28370
AP2-EREBP,At3g23230
AP2-EREBP,At5g47230
AP2-EREBP,At5g67000
AP2-EREBP,At1g74930
AP2-EREBP,At5g07580
AP2-EREBP,At1g71520
AP2-EREBP,At1g15360
AP2-EREBP,At5g61590
AP2-EREBP,At4g17500
AP2-EREBP,At2g40350
AP2-EREBP,At5g47220
AP2-EREBP,At1g12980
AP2-EREBP,At2g20350
AP2-EREBP,At1g22810
AP2-EREBP,At3g23240
AP2-EREBP,At1g06160
AP2-EREBP,At2g44840
AP2-EREBP,At2g25820
AP2-EREBP,At4g17490
AP2-EREBP,At4g31060
AP2-EREBP,At5g25190
AP2-EREBP,At5g25390
AP2-EREBP,At1g24590
AP2-EREBP,At1g50640
AP2-EREBP,At1g68550
AP2-EREBP,At3g23220
AP2-EREBP,At3g20310
AP2-EREBP,At1g28160
AP2-EREBP,At1g12890
AP2-EREBP,At5g13910
AP2-EREBP,At2g31230
AP2-EREBP,At2g38340
AP2-EREBP,At1g22985
AP2-EREBP,At1g71130
AP2-EREBP,At4g18450
AP2-EREBP,At5g18560
AP2-EREBP,At3g25890
AP2-EREBP,At1g80580
AP2-EREBP,At1g49120
AP2-EREBP,At1g25470
AP2-EREBP,At4g37750
AP2-EREBP,At4g36920
AP2-EREBP,At5g11190
AP2-EREBP,At3g20840
AP2-EREBP,At1g51190
AP2-EREBP,At3g54320
AP2-EREBP,At5g60120
AP2-EREBP,At2g28550
AP2-EREBP,At3g54990
AP2-EREBP,At2g39250
AP2-EREBP,At2g41710
AP2-EREBP,At5g17430
AP2-EREBP,At1g72570
AP2-EREBP,At5g57390
AP2-EREBP,At5g10510
AP2-EREBP,At5g65510
AP2-EREBP,At1g16060
AP2-EREBP,At1g79700
AP2-EREBP,At2g41710
AP2-EREBP,At5g65510
ARF,At1g59750
ARF,At2g33860
ARF,At5g60450
ARF,At1g19850
ARF,At1g30330
ARF,At5g20730
ARF,At5g37020
ARF,At4g23980
ARF,At2g28350
ARF,At2g46530
ARF,At1g34310
ARF,At1g34170
ARF,At1g35540
ARF,At1g35520
ARF,At4g30080
ARF,At1g77850
ARF,At3g61830
ARF,At1g35240
ARF,At1g34390
ARF,At5g62010
ARF,At1g19220
ARF,At1g34410
ARF,At1g43950
ARID,At1g04880
ARID,At1g20910
ARID,At1g55650
ARID,At1g76110
ARID,At1g76510
ARID,At3g13350
ARID,At3g43240
ARR-B,At3g16857
ARR-B,At3g48100
ARR-B,At4g16110
ARR-B,At4g31920
ARR-B,At1g67710
ARR-B,At2g25180
ARR-B,At2g27070
ARR-B,At2g01760
ARR-B,At5g58080
ARR-B,At1g49190
ARR-B,At3g62670
ARR-B,At5g07210
ARR-B,At5g49240
ARR-B,At1g68210
ARR-B,At4g00760
AtRKD,At1g18790
AtRKD,At1g74480
AtRKD,At5g66990
AtRKD,At5g53040
AtRKD,At4g35590
BBR/BPC,At2g01930
BBR/BPC,At1g14685
BBR/BPC,At1g68120
BBR/BPC,At2g21240
BBR/BPC,At4g38910
BBR/BPC,At5g42520
BBR/BPC,At2g35550
bHLH,At1g09530
bHLH,At4g36930
bHLH,At2g20180
bHLH,At3g59060
bHLH,At4g28790
bHLH,At5g67110
bHLH,At2g24260
bHLH,At4g28800
bHLH,At1g59640
bHLH,At5g58010
bHLH,At3g07340
bHLH,At4g30980
bHLH,At4g33880
bHLH,At1g10120
bHLH,At1g02340
bHLH,At4g02590
bHLH,At1g03040
bHLH,At5g62610
bHLH,At2g18300
bHLH,At1g25330
bHLH,At3g23690
bHLH,At1g68920
bHLH,At1g26260
bHLH,At4g36540
bHLH,At4g00050
bHLH,At5g48560
bHLH,At2g42300
bHLH,At4g34530
bHLH,At1g73830
bHLH,At5g09750
bHLH,At1g27740
bHLH,At5g67060
bHLH,At2g22750
bHLH,At2g28160
bHLH,At4g00120
bHLH,At1g35460
bHLH,At1g66470
bHLH,At3g50330
bHLH,At4g09180
bHLH,At2g22770
bHLH,At5g46760
bHLH,At5g37800
bHLH,At5g61270
bHLH,At2g46510
bHLH,At1g63650
bHLH,At3g21330
bHLH,At3g26744
bHLH,At3g62090
bHLH,At2g40200
bHLH,At1g69010
bHLH,At2g42280
bHLH,At2g43140
bHLH,At5g08130
bHLH,At1g68810
bHLH,At5g56960
bHLH,At4g17880
bHLH,At4g29930
bHLH,At1g25310
bHLH,At3g25710
bHLH,At2g46970
bHLH,At2g22760
bHLH,At1g51140
bHLH,At2g16910
bHLH,At1g01260
bHLH,At4g37850
bHLH,At1g12860
bHLH,At2g31220
bHLH,At5g57150
bHLH,At4g16430
bHLH,At5g65640
bHLH,At1g32640
bHLH,At4g00870
bHLH,At1g05805
bHLH,At3g19500
bHLH,At1g30670
bHLH,At3g20640
bHLH,At1g31050
bHLH,At4g05170
bHLH,At5g10570
bHLH,At4g09820
bHLH,At5g41315
bHLH,At4g00480
bHLH,At5g46830
bHLH,At4g21330
bHLH,At5g43650
bHLH,At3g61950
bHLH,At5g53210
bHLH,At1g72210
bHLH,At1g22490
bHLH,At1g10610
bHLH,At2g46810
bHLH,At1g61660
bHLH,At3g23210
bHLH,At5g65320
bHLH,At2g31210
bHLH,At3g24140
bHLH,At4g01460
bHLH,At5g46690
bHLH,At3g06120
bHLH,At2g20095
bHLH,At4g14410
bHLH,At2g41130
bHLH,At3g56770
bHLH,At1g51070
bHLH,At5g54680
bHLH,At1g06170
bHLH,At4g21340
bHLH,At2g34820
bHLH,At2g14760
bHLH,At4g29100
bHLH,At3g22100
bHLH,At1g27660
bHLH,At4g28811
bHLH,At1g68240
bHLH,At4g38071
bHLH,At3g19860
bHLH,At4g36060
bHLH,At3g47640
bHLH,At3g56980
bHLH,At3g56970
bHLH,At5g04150
bHLH,At2g41240
bHLH,At5g51780
bHLH,At5g51790
bHLH,At4g25400
bHLH,At4g25410
bHLH,At3g57800
bHLH,At1g62975
bHLH,At1g18400
bHLH,At1g12540
bHLH,At4g49770
