"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"ACO","peroxisome","Alfin-like",0,"ACO_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"CSY","peroxisome","Alfin-like",0,"CSY_peroxisome",2,150,150,2,810,0,1,1
"FUM","peroxisome","Alfin-like",0,"FUM_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ICDH","peroxisome","Alfin-like",0,"ICDH_peroxisome",2,70,70,2,890,0,1,1
"MDH","peroxisome","Alfin-like",0,"MDH_peroxisome",2,143,143,2,817,0,1,1
"OGDH","peroxisome","Alfin-like",0,"OGDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"PDH","peroxisome","Alfin-like",0,"PDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SCL","peroxisome","Alfin-like",0,"SCL_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SDH","peroxisome","Alfin-like",0,"SDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ACO","plastid","Alfin-like",0,"ACO_plastid",2,NA,NA,2,NA,NA,NA,NA
"CSY","plastid","Alfin-like",0,"CSY_plastid",2,NA,NA,2,NA,NA,NA,NA
"FUM","plastid","Alfin-like",0,"FUM_plastid",2,NA,NA,2,NA,NA,NA,NA
"ICDH","plastid","Alfin-like",0,"ICDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"MDH","plastid","Alfin-like",0,"MDH_plastid",2,96,96,2,864,0,1,1
"OGDH","plastid","Alfin-like",0,"OGDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"PDH","plastid","Alfin-like",0,"PDH_plastid",2,330,330,2,630,0,1,1
"SCL","plastid","Alfin-like",0,"SCL_plastid",2,NA,NA,2,NA,NA,NA,NA
"SDH","plastid","Alfin-like",0,"SDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"ACO","cytosol","AP2-EREBP",2,"ACO_cytosol",71,65,63,69,828,3.07692307692308,0.962379254972428,1
"CSY","cytosol","AP2-EREBP",0,"CSY_cytosol",71,NA,NA,71,NA,NA,NA,NA
"FUM","cytosol","AP2-EREBP",1,"FUM_cytosol",71,39,38,70,853,2.56410256410256,0.952795608719483,1
"ICDH","cytosol","AP2-EREBP",14,"ICDH_cytosol",71,173,159,57,732,8.09248554913295,0.396490090436439,1
"MDH","cytosol","AP2-EREBP",29,"MDH_cytosol",71,215,186,42,705,13.4883720930233,0.000210530352613049,0.0094738658675872
"OGDH","cytosol","AP2-EREBP",0,"OGDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"PDH","cytosol","AP2-EREBP",0,"PDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"SCL","cytosol","AP2-EREBP",0,"SCL_cytosol",71,NA,NA,71,NA,NA,NA,NA
"SDH","cytosol","AP2-EREBP",0,"SDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"ACO","mitochondrion","AP2-EREBP",8,"ACO_mitochondrion",71,214,206,63,685,3.73831775700935,0.995670485871093,1
"CSY","mitochondrion","AP2-EREBP",19,"CSY_mitochondrion",71,167,148,52,743,11.377245508982,0.026327291636498,1
"FUM","mitochondrion","AP2-EREBP",1,"FUM_mitochondrion",71,46,45,70,846,2.17391304347826,0.973095793347207,1
"ICDH","mitochondrion","AP2-EREBP",15,"ICDH_mitochondrion",71,202,187,56,704,7.42574257425743,0.539286428167012,1
"MDH","mitochondrion","AP2-EREBP",13,"MDH_mitochondrion",71,149,136,58,755,8.7248322147651,0.295750012880411,1
