"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"OGDH","cytosol","bHLH",0,"OGDH_cytosol",49,NA,NA,49,NA,NA,NA,NA
"PDH","cytosol","bHLH",0,"PDH_cytosol",49,NA,NA,49,NA,NA,NA,NA
"SCL","cytosol","bHLH",0,"SCL_cytosol",49,NA,NA,49,NA,NA,NA,NA
"SDH","cytosol","bHLH",0,"SDH_cytosol",49,NA,NA,49,NA,NA,NA,NA
"ACO","mitochondrion","bHLH",9,"ACO_mitochondrion",49,214,205,40,708,4.20560747663551,0.798894705521843,1
"CSY","mitochondrion","bHLH",4,"CSY_mitochondrion",49,167,163,45,750,2.39520958083832,0.981777789893554,1
"FUM","mitochondrion","bHLH",0,"FUM_mitochondrion",49,46,46,49,867,0,1,1
"ICDH","mitochondrion","bHLH",2,"ICDH_mitochondrion",49,202,200,47,713,0.99009900990099,0.999897482364949,1
"MDH","mitochondrion","bHLH",2,"MDH_mitochondrion",49,149,147,47,766,1.34228187919463,0.997808050231984,1
"OGDH","mitochondrion","bHLH",3,"OGDH_mitochondrion",49,148,145,46,768,2.02702702702703,0.988051613427178,1
"PDH","mitochondrion","bHLH",13,"PDH_mitochondrion",49,471,458,36,455,2.76008492569002,0.999709002981423,1
"SCL","mitochondrion","bHLH",1,"SCL_mitochondrion",49,17,16,48,897,5.88235294117647,0.591969479553575,1
"SDH","mitochondrion","bHLH",9,"SDH_mitochondrion",49,375,366,40,547,2.4,0.999595478502738,1
"ACO","peroxisome","bHLH",0,"ACO_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"CSY","peroxisome","bHLH",6,"CSY_peroxisome",49,150,144,43,769,4,0.803649195901925,1
"FUM","peroxisome","bHLH",0,"FUM_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"ICDH","peroxisome","bHLH",2,"ICDH_peroxisome",49,70,68,47,845,2.85714285714286,0.886860694674785,1
"MDH","peroxisome","bHLH",2,"MDH_peroxisome",49,143,141,47,772,1.3986013986014,0.996959710383683,1
"OGDH","peroxisome","bHLH",0,"OGDH_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"PDH","peroxisome","bHLH",0,"PDH_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"SCL","peroxisome","bHLH",0,"SCL_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"SDH","peroxisome","bHLH",0,"SDH_peroxisome",49,NA,NA,49,NA,NA,NA,NA
"ACO","plastid","bHLH",0,"ACO_plastid",49,NA,NA,49,NA,NA,NA,NA
"CSY","plastid","bHLH",0,"CSY_plastid",49,NA,NA,49,NA,NA,NA,NA
"FUM","plastid","bHLH",0,"FUM_plastid",49,NA,NA,49,NA,NA,NA,NA
"ICDH","plastid","bHLH",0,"ICDH_plastid",49,NA,NA,49,NA,NA,NA,NA
"MDH","plastid","bHLH",2,"MDH_plastid",49,96,94,47,819,2.08333333333333,0.966028613671611,1
"OGDH","plastid","bHLH",0,"OGDH_plastid",49,NA,NA,49,NA,NA,NA,NA
"PDH","plastid","bHLH",26,"PDH_plastid",49,330,304,23,609,7.87878787878788,0.00434052236942903,0.199664028993735
"SCL","plastid","bHLH",0,"SCL_plastid",49,NA,NA,49,NA,NA,NA,NA
"SDH","plastid","bHLH",0,"SDH_plastid",49,NA,NA,49,NA,NA,NA,NA
"ACO","cytosol","bZIP",2,"ACO_cytosol",34,65,63,32,865,3.07692307692308,0.684227340912745,1
"CSY","cytosol","bZIP",0,"CSY_cytosol",34,NA,NA,34,NA,NA,NA,NA
"FUM","cytosol","bZIP",0,"FUM_cytosol",34,39,39,34,889,0,1,1
"ICDH","cytosol","bZIP",4,"ICDH_cytosol",34,173,169,30,759,2.3121387283237,0.887890061251114,1
"MDH","cytosol","bZIP",13,"MDH_cytosol",34,215,202,21,726,6.04651162790698,0.0244355716861357,1
"OGDH","cytosol","bZIP",0,"OGDH_cytosol",34,NA,NA,34,NA,NA,NA,NA
"PDH","cytosol","bZIP",0,"PDH_cytosol",34,NA,NA,34,NA,NA,NA,NA
"SCL","cytosol","bZIP",0,"SCL_cytosol",34,NA,NA,34,NA,NA,NA,NA
"SDH","cytosol","bZIP",0,"SDH_cytosol",34,NA,NA,34,NA,NA,NA,NA
"ACO","mitochondrion","bZIP",6,"ACO_mitochondrion",34,214,208,28,720,2.80373831775701,0.80425705971302,1
"CSY","mitochondrion","bZIP",8,"CSY_mitochondrion",34,167,159,26,769,4.79041916167665,0.224146201942867,1
"FUM","mitochondrion","bZIP",0,"FUM_mitochondrion",34,46,46,34,882,0,1,1
"ICDH","mitochondrion","bZIP",8,"ICDH_mitochondrion",34,202,194,26,734,3.96039603960396,0.423722868205097,1
"MDH","mitochondrion","bZIP",10,"MDH_mitochondrion",34,149,139,24,789,6.71140939597315,0.0269685752379765,1
"OGDH","mitochondrion","bZIP",7,"OGDH_mitochondrion",34,148,141,27,787,4.72972972972973,0.258986565759958,1
"PDH","mitochondrion","bZIP",17,"PDH_mitochondrion",34,471,454,17,474,3.60934182590234,0.519914215349163,1
"SCL","mitochondrion","bZIP",0,"SCL_mitochondrion",34,17,17,34,911,0,1,1
"SDH","mitochondrion","bZIP",23,"SDH_mitochondrion",34,375,352,11,576,6.13333333333333,0.000546525337853995,0.0251401655412838
"ACO","peroxisome","bZIP",0,"ACO_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"CSY","peroxisome","bZIP",11,"CSY_peroxisome",34,150,139,23,789,7.33333333333333,0.0102152395538539,0.449470540369573
"FUM","peroxisome","bZIP",0,"FUM_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"ICDH","peroxisome","bZIP",5,"ICDH_peroxisome",34,70,65,29,863,7.14285714285714,0.0939524042435833,1
"MDH","peroxisome","bZIP",7,"MDH_peroxisome",34,143,136,27,792,4.89510489510489,0.230641533283037,1
"OGDH","peroxisome","bZIP",0,"OGDH_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"PDH","peroxisome","bZIP",0,"PDH_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"SCL","peroxisome","bZIP",0,"SCL_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"SDH","peroxisome","bZIP",0,"SDH_peroxisome",34,NA,NA,34,NA,NA,NA,NA
"ACO","plastid","bZIP",0,"ACO_plastid",34,NA,NA,34,NA,NA,NA,NA
"CSY","plastid","bZIP",0,"CSY_plastid",34,NA,NA,34,NA,NA,NA,NA
"FUM","plastid","bZIP",0,"FUM_plastid",34,NA,NA,34,NA,NA,NA,NA
"ICDH","plastid","bZIP",0,"ICDH_plastid",34,NA,NA,34,NA,NA,NA,NA
"MDH","plastid","bZIP",7,"MDH_plastid",34,96,89,27,839,7.29166666666667,0.0445985992480611,1
"OGDH","plastid","bZIP",0,"OGDH_plastid",34,NA,NA,34,NA,NA,NA,NA
"PDH","plastid","bZIP",23,"PDH_plastid",34,330,307,11,621,6.96969696969697,5.58130351315173e-05,0.00267902568631283
"SCL","plastid","bZIP",0,"SCL_plastid",34,NA,NA,34,NA,NA,NA,NA
"SDH","plastid","bZIP",0,"SDH_plastid",34,NA,NA,34,NA,NA,NA,NA
"ACO","cytosol","BZR",1,"ACO_cytosol",5,65,64,4,893,1.53846153846154,0.295698429664778,1
"CSY","cytosol","BZR",0,"CSY_cytosol",5,NA,NA,5,NA,NA,NA,NA
"FUM","cytosol","BZR",0,"FUM_cytosol",5,39,39,5,918,0,1,1
"ICDH","cytosol","BZR",0,"ICDH_cytosol",5,173,173,5,784,0,1,1
"MDH","cytosol","BZR",0,"MDH_cytosol",5,215,215,5,742,0,1,1
"OGDH","cytosol","BZR",0,"OGDH_cytosol",5,NA,NA,5,NA,NA,NA,NA
"PDH","cytosol","BZR",0,"PDH_cytosol",5,NA,NA,5,NA,NA,NA,NA
"SCL","cytosol","BZR",0,"SCL_cytosol",5,NA,NA,5,NA,NA,NA,NA
"SDH","cytosol","BZR",0,"SDH_cytosol",5,NA,NA,5,NA,NA,NA,NA
"ACO","mitochondrion","BZR",1,"ACO_mitochondrion",5,214,213,4,744,0.467289719626168,0.716641381512888,1
"CSY","mitochondrion","BZR",1,"CSY_mitochondrion",5,167,166,4,791,0.598802395209581,0.61540053613446,1
"FUM","mitochondrion","BZR",0,"FUM_mitochondrion",5,46,46,5,911,0,1,1
"ICDH","mitochondrion","BZR",0,"ICDH_mitochondrion",5,202,202,5,755,0,1,1
"MDH","mitochondrion","BZR",1,"MDH_mitochondrion",5,149,148,4,809,0.671140939597315,0.569723962423377,1
"OGDH","mitochondrion","BZR",0,"OGDH_mitochondrion",5,148,148,5,809,0,1,1
"PDH","mitochondrion","BZR",3,"PDH_mitochondrion",5,471,468,2,489,0.636942675159236,0.480474323003243,1
"SCL","mitochondrion","BZR",0,"SCL_mitochondrion",5,17,17,5,940,0,1,1
"SDH","mitochondrion","BZR",5,"SDH_mitochondrion",5,375,370,0,587,1.33333333333333,0.00885471815607383,0.389607598867249
"ACO","peroxisome","BZR",0,"ACO_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"CSY","peroxisome","BZR",1,"CSY_peroxisome",5,150,149,4,808,0.666666666666667,0.572370186516715,1
"FUM","peroxisome","BZR",0,"FUM_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"ICDH","peroxisome","BZR",0,"ICDH_peroxisome",5,70,70,5,887,0,1,1
"MDH","peroxisome","BZR",0,"MDH_peroxisome",5,143,143,5,814,0,1,1
"OGDH","peroxisome","BZR",0,"OGDH_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"PDH","peroxisome","BZR",0,"PDH_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"SCL","peroxisome","BZR",0,"SCL_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"SDH","peroxisome","BZR",0,"SDH_peroxisome",5,NA,NA,5,NA,NA,NA,NA
"ACO","plastid","BZR",0,"ACO_plastid",5,NA,NA,5,NA,NA,NA,NA
"CSY","plastid","BZR",0,"CSY_plastid",5,NA,NA,5,NA,NA,NA,NA
"FUM","plastid","BZR",0,"FUM_plastid",5,NA,NA,5,NA,NA,NA,NA
"ICDH","plastid","BZR",0,"ICDH_plastid",5,NA,NA,5,NA,NA,NA,NA
"MDH","plastid","BZR",0,"MDH_plastid",5,96,96,5,861,0,1,1
"OGDH","plastid","BZR",0,"OGDH_plastid",5,NA,NA,5,NA,NA,NA,NA
"PDH","plastid","BZR",5,"PDH_plastid",5,330,325,0,632,1.51515151515152,0.00465580974796989,0.205894901490742
"SCL","plastid","BZR",0,"SCL_plastid",5,NA,NA,5,NA,NA,NA,NA
"SDH","plastid","BZR",0,"SDH_plastid",5,NA,NA,5,NA,NA,NA,NA
"ACO","cytosol","C2C2-CO-like",2,"ACO_cytosol",4,65,63,2,895,3.07692307692308,0.0246937732753147,1
"CSY","cytosol","C2C2-CO-like",0,"CSY_cytosol",4,NA,NA,4,NA,NA,NA,NA
"FUM","cytosol","C2C2-CO-like",0,"FUM_cytosol",4,39,39,4,919,0,1,1
"ICDH","cytosol","C2C2-CO-like",0,"ICDH_cytosol",4,173,173,4,785,0,1,1
"MDH","cytosol","C2C2-CO-like",0,"MDH_cytosol",4,215,215,4,743,0,1,1
"OGDH","cytosol","C2C2-CO-like",0,"OGDH_cytosol",4,NA,NA,4,NA,NA,NA,NA
"PDH","cytosol","C2C2-CO-like",0,"PDH_cytosol",4,NA,NA,4,NA,NA,NA,NA
"SCL","cytosol","C2C2-CO-like",0,"SCL_cytosol",4,NA,NA,4,NA,NA,NA,NA
"SDH","cytosol","C2C2-CO-like",0,"SDH_cytosol",4,NA,NA,4,NA,NA,NA,NA
"ACO","mitochondrion","C2C2-CO-like",2,"ACO_mitochondrion",4,214,212,2,746,0.934579439252336,0.21591335070081,1
"CSY","mitochondrion","C2C2-CO-like",0,"CSY_mitochondrion",4,167,167,4,791,0,1,1
"FUM","mitochondrion","C2C2-CO-like",0,"FUM_mitochondrion",4,46,46,4,912,0,1,1
"ICDH","mitochondrion","C2C2-CO-like",0,"ICDH_mitochondrion",4,202,202,4,756,0,1,1
"MDH","mitochondrion","C2C2-CO-like",0,"MDH_mitochondrion",4,149,149,4,809,0,1,1
"OGDH","mitochondrion","C2C2-CO-like",0,"OGDH_mitochondrion",4,148,148,4,810,0,1,1
"PDH","mitochondrion","C2C2-CO-like",0,"PDH_mitochondrion",4,471,471,4,487,0,1,1
"SCL","mitochondrion","C2C2-CO-like",0,"SCL_mitochondrion",4,17,17,4,941,0,1,1
"SDH","mitochondrion","C2C2-CO-like",2,"SDH_mitochondrion",4,375,373,2,585,0.533333333333333,0.507279084460226,1
"ACO","peroxisome","C2C2-CO-like",0,"ACO_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"CSY","peroxisome","C2C2-CO-like",0,"CSY_peroxisome",4,150,150,4,808,0,1,1
"FUM","peroxisome","C2C2-CO-like",0,"FUM_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"ICDH","peroxisome","C2C2-CO-like",0,"ICDH_peroxisome",4,70,70,4,888,0,1,1
"MDH","peroxisome","C2C2-CO-like",0,"MDH_peroxisome",4,143,143,4,815,0,1,1
"OGDH","peroxisome","C2C2-CO-like",0,"OGDH_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"PDH","peroxisome","C2C2-CO-like",0,"PDH_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"SCL","peroxisome","C2C2-CO-like",0,"SCL_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"SDH","peroxisome","C2C2-CO-like",0,"SDH_peroxisome",4,NA,NA,4,NA,NA,NA,NA
"ACO","plastid","C2C2-CO-like",0,"ACO_plastid",4,NA,NA,4,NA,NA,NA,NA
"CSY","plastid","C2C2-CO-like",0,"CSY_plastid",4,NA,NA,4,NA,NA,NA,NA
"FUM","plastid","C2C2-CO-like",0,"FUM_plastid",4,NA,NA,4,NA,NA,NA,NA
"ICDH","plastid","C2C2-CO-like",0,"ICDH_plastid",4,NA,NA,4,NA,NA,NA,NA
"MDH","plastid","C2C2-CO-like",0,"MDH_plastid",4,96,96,4,862,0,1,1
"OGDH","plastid","C2C2-CO-like",0,"OGDH_plastid",4,NA,NA,4,NA,NA,NA,NA
"PDH","plastid","C2C2-CO-like",0,"PDH_plastid",4,330,330,4,628,0,1,1
"SCL","plastid","C2C2-CO-like",0,"SCL_plastid",4,NA,NA,4,NA,NA,NA,NA
"SDH","plastid","C2C2-CO-like",0,"SDH_plastid",4,NA,NA,4,NA,NA,NA,NA
"ACO","cytosol","C2C2-Dof",1,"ACO_cytosol",23,65,64,22,875,1.53846153846154,0.80376035451372,1
"CSY","cytosol","C2C2-Dof",0,"CSY_cytosol",23,NA,NA,23,NA,NA,NA,NA
"FUM","cytosol","C2C2-Dof",0,"FUM_cytosol",23,39,39,23,900,0,1,1
"ICDH","cytosol","C2C2-Dof",0,"ICDH_cytosol",23,173,173,23,766,0,1,1
"MDH","cytosol","C2C2-Dof",1,"MDH_cytosol",23,215,214,22,725,0.465116279069767,0.997246563107099,1
"OGDH","cytosol","C2C2-Dof",0,"OGDH_cytosol",23,NA,NA,23,NA,NA,NA,NA
"PDH","cytosol","C2C2-Dof",0,"PDH_cytosol",23,NA,NA,23,NA,NA,NA,NA
"SCL","cytosol","C2C2-Dof",0,"SCL_cytosol",23,NA,NA,23,NA,NA,NA,NA
"SDH","cytosol","C2C2-Dof",0,"SDH_cytosol",23,NA,NA,23,NA,NA,NA,NA
"ACO","mitochondrion","C2C2-Dof",1,"ACO_mitochondrion",23,214,213,22,726,0.467289719626168,0.997159212695325,1
"CSY","mitochondrion","C2C2-Dof",1,"CSY_mitochondrion",23,167,166,22,773,0.598802395209581,0.988223858926494,1
"FUM","mitochondrion","C2C2-Dof",0,"FUM_mitochondrion",23,46,46,23,893,0,1,1
"ICDH","mitochondrion","C2C2-Dof",10,"ICDH_mitochondrion",23,202,192,13,747,4.95049504950495,0.011691840004721,0.514440960207724
"MDH","mitochondrion","C2C2-Dof",0,"MDH_mitochondrion",23,149,149,23,790,0,1,1
"OGDH","mitochondrion","C2C2-Dof",2,"OGDH_mitochondrion",23,148,146,21,793,1.35135135135135,0.891777361467333,1
"PDH","mitochondrion","C2C2-Dof",18,"PDH_mitochondrion",23,471,453,5,486,3.82165605095541,0.00363021172778415,0.166989739478071
"SCL","mitochondrion","C2C2-Dof",0,"SCL_mitochondrion",23,17,17,23,922,0,1,1
"SDH","mitochondrion","C2C2-Dof",4,"SDH_mitochondrion",23,375,371,19,568,1.06666666666667,0.993747010960685,1
"ACO","peroxisome","C2C2-Dof",0,"ACO_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"CSY","peroxisome","C2C2-Dof",2,"CSY_peroxisome",23,150,148,21,791,1.33333333333333,0.896477390735272,1
"FUM","peroxisome","C2C2-Dof",0,"FUM_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"ICDH","peroxisome","C2C2-Dof",0,"ICDH_peroxisome",23,70,70,23,869,0,1,1
"MDH","peroxisome","C2C2-Dof",0,"MDH_peroxisome",23,143,143,23,796,0,1,1
"OGDH","peroxisome","C2C2-Dof",0,"OGDH_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"PDH","peroxisome","C2C2-Dof",0,"PDH_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"SCL","peroxisome","C2C2-Dof",0,"SCL_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"SDH","peroxisome","C2C2-Dof",0,"SDH_peroxisome",23,NA,NA,23,NA,NA,NA,NA
"ACO","plastid","C2C2-Dof",0,"ACO_plastid",23,NA,NA,23,NA,NA,NA,NA
"CSY","plastid","C2C2-Dof",0,"CSY_plastid",23,NA,NA,23,NA,NA,NA,NA
"FUM","plastid","C2C2-Dof",0,"FUM_plastid",23,NA,NA,23,NA,NA,NA,NA
"ICDH","plastid","C2C2-Dof",0,"ICDH_plastid",23,NA,NA,23,NA,NA,NA,NA
"MDH","plastid","C2C2-Dof",0,"MDH_plastid",23,96,96,23,843,0,1,1
"OGDH","plastid","C2C2-Dof",0,"OGDH_plastid",23,NA,NA,23,NA,NA,NA,NA
"PDH","plastid","C2C2-Dof",2,"PDH_plastid",23,330,328,21,611,0.606060606060606,0.999256789173221,1
"SCL","plastid","C2C2-Dof",0,"SCL_plastid",23,NA,NA,23,NA,NA,NA,NA
"SDH","plastid","C2C2-Dof",0,"SDH_plastid",23,NA,NA,23,NA,NA,NA,NA
"ACO","cytosol","C2C2-Gata",0,"ACO_cytosol",21,65,65,21,876,0,1,1
"CSY","cytosol","C2C2-Gata",0,"CSY_cytosol",21,NA,NA,21,NA,NA,NA,NA
"FUM","cytosol","C2C2-Gata",2,"FUM_cytosol",21,39,37,19,904,5.12820512820513,0.207791113587387,1
"ICDH","cytosol","C2C2-Gata",11,"ICDH_cytosol",21,173,162,10,779,6.35838150289017,0.00031565937223009,0.0148359904948142
"MDH","cytosol","C2C2-Gata",17,"MDH_cytosol",21,215,198,4,743,7.90697674418605,1.29145723267514e-08,6.19899471684069e-07
"OGDH","cytosol","C2C2-Gata",0,"OGDH_cytosol",21,NA,NA,21,NA,NA,NA,NA
"PDH","cytosol","C2C2-Gata",0,"PDH_cytosol",21,NA,NA,21,NA,NA,NA,NA
"SCL","cytosol","C2C2-Gata",0,"SCL_cytosol",21,NA,NA,21,NA,NA,NA,NA
"SDH","cytosol","C2C2-Gata",0,"SDH_cytosol",21,NA,NA,21,NA,NA,NA,NA
"ACO","mitochondrion","C2C2-Gata",10,"ACO_mitochondrion",21,214,204,11,737,4.67289719626168,0.00831848514265113,0.399287286847254
"CSY","mitochondrion","C2C2-Gata",3,"CSY_mitochondrion",21,167,164,18,777,1.79640718562874,0.735275410842927,1
"FUM","mitochondrion","C2C2-Gata",2,"FUM_mitochondrion",21,46,44,19,897,4.34782608695652,0.26553908214592,1
"ICDH","mitochondrion","C2C2-Gata",3,"ICDH_mitochondrion",21,202,199,18,742,1.48514851485149,0.851149276090283,1
"MDH","mitochondrion","C2C2-Gata",1,"MDH_mitochondrion",21,149,148,20,793,0.671140939597315,0.971973058263139,1
"OGDH","mitochondrion","C2C2-Gata",1,"OGDH_mitochondrion",21,148,147,20,794,0.675675675675676,0.971230856779565,1
"PDH","mitochondrion","C2C2-Gata",16,"PDH_mitochondrion",21,471,455,5,486,3.39702760084926,0.00972018151424442,0.437408168140999
"SCL","mitochondrion","C2C2-Gata",0,"SCL_mitochondrion",21,17,17,21,924,0,1,1
"SDH","mitochondrion","C2C2-Gata",13,"SDH_mitochondrion",21,375,362,8,579,3.46666666666667,0.0268913923434515,1
"ACO","peroxisome","C2C2-Gata",0,"ACO_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"CSY","peroxisome","C2C2-Gata",0,"CSY_peroxisome",21,150,150,21,791,0,1,1
"FUM","peroxisome","C2C2-Gata",0,"FUM_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"ICDH","peroxisome","C2C2-Gata",0,"ICDH_peroxisome",21,70,70,21,871,0,1,1
"MDH","peroxisome","C2C2-Gata",0,"MDH_peroxisome",21,143,143,21,798,0,1,1
"OGDH","peroxisome","C2C2-Gata",0,"OGDH_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"PDH","peroxisome","C2C2-Gata",0,"PDH_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"SCL","peroxisome","C2C2-Gata",0,"SCL_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"SDH","peroxisome","C2C2-Gata",0,"SDH_peroxisome",21,NA,NA,21,NA,NA,NA,NA
"ACO","plastid","C2C2-Gata",0,"ACO_plastid",21,NA,NA,21,NA,NA,NA,NA
"CSY","plastid","C2C2-Gata",0,"CSY_plastid",21,NA,NA,21,NA,NA,NA,NA
"FUM","plastid","C2C2-Gata",0,"FUM_plastid",21,NA,NA,21,NA,NA,NA,NA
"ICDH","plastid","C2C2-Gata",0,"ICDH_plastid",21,NA,NA,21,NA,NA,NA,NA
"MDH","plastid","C2C2-Gata",3,"MDH_plastid",21,96,93,18,848,3.125,0.350324122666695,1
"OGDH","plastid","C2C2-Gata",0,"OGDH_plastid",21,NA,NA,21,NA,NA,NA,NA
"PDH","plastid","C2C2-Gata",9,"PDH_plastid",21,330,321,12,620,2.72727272727273,0.268898857274931,1
"SCL","plastid","C2C2-Gata",0,"SCL_plastid",21,NA,NA,21,NA,NA,NA,NA
"SDH","plastid","C2C2-Gata",0,"SDH_plastid",21,NA,NA,21,NA,NA,NA,NA
"ACO","cytosol","C2C2-YABBY",0,"ACO_cytosol",2,65,65,2,895,0,1,1
"CSY","cytosol","C2C2-YABBY",0,"CSY_cytosol",2,NA,NA,2,NA,NA,NA,NA
"FUM","cytosol","C2C2-YABBY",0,"FUM_cytosol",2,39,39,2,921,0,1,1
"ICDH","cytosol","C2C2-YABBY",0,"ICDH_cytosol",2,173,173,2,787,0,1,1
"MDH","cytosol","C2C2-YABBY",0,"MDH_cytosol",2,215,215,2,745,0,1,1
"OGDH","cytosol","C2C2-YABBY",0,"OGDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"PDH","cytosol","C2C2-YABBY",0,"PDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"SCL","cytosol","C2C2-YABBY",0,"SCL_cytosol",2,NA,NA,2,NA,NA,NA,NA
"SDH","cytosol","C2C2-YABBY",0,"SDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"ACO","mitochondrion","C2C2-YABBY",0,"ACO_mitochondrion",2,214,214,2,746,0,1,1
"CSY","mitochondrion","C2C2-YABBY",0,"CSY_mitochondrion",2,167,167,2,793,0,1,1
"FUM","mitochondrion","C2C2-YABBY",0,"FUM_mitochondrion",2,46,46,2,914,0,1,1
"ICDH","mitochondrion","C2C2-YABBY",1,"ICDH_mitochondrion",2,202,201,1,759,0.495049504950495,0.376039771461207,1
"MDH","mitochondrion","C2C2-YABBY",0,"MDH_mitochondrion",2,149,149,2,811,0,1,1
"OGDH","mitochondrion","C2C2-YABBY",0,"OGDH_mitochondrion",2,148,148,2,812,0,1,1
"PDH","mitochondrion","C2C2-YABBY",0,"PDH_mitochondrion",2,471,471,2,489,0,1,1
"SCL","mitochondrion","C2C2-YABBY",0,"SCL_mitochondrion",2,17,17,2,943,0,1,1
"SDH","mitochondrion","C2C2-YABBY",0,"SDH_mitochondrion",2,375,375,2,585,0,1,1
"ACO","peroxisome","C2C2-YABBY",0,"ACO_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"CSY","peroxisome","C2C2-YABBY",0,"CSY_peroxisome",2,150,150,2,810,0,1,1
"FUM","peroxisome","C2C2-YABBY",0,"FUM_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ICDH","peroxisome","C2C2-YABBY",0,"ICDH_peroxisome",2,70,70,2,890,0,1,1
"MDH","peroxisome","C2C2-YABBY",1,"MDH_peroxisome",2,143,142,1,818,0.699300699300699,0.275332564614563,1
"OGDH","peroxisome","C2C2-YABBY",0,"OGDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"PDH","peroxisome","C2C2-YABBY",0,"PDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SCL","peroxisome","C2C2-YABBY",0,"SCL_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SDH","peroxisome","C2C2-YABBY",0,"SDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ACO","plastid","C2C2-YABBY",0,"ACO_plastid",2,NA,NA,2,NA,NA,NA,NA
"CSY","plastid","C2C2-YABBY",0,"CSY_plastid",2,NA,NA,2,NA,NA,NA,NA
"FUM","plastid","C2C2-YABBY",0,"FUM_plastid",2,NA,NA,2,NA,NA,NA,NA
"ICDH","plastid","C2C2-YABBY",0,"ICDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"MDH","plastid","C2C2-YABBY",0,"MDH_plastid",2,96,96,2,864,0,1,1
"OGDH","plastid","C2C2-YABBY",0,"OGDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"PDH","plastid","C2C2-YABBY",0,"PDH_plastid",2,330,330,2,630,0,1,1
"SCL","plastid","C2C2-YABBY",0,"SCL_plastid",2,NA,NA,2,NA,NA,NA,NA
"SDH","plastid","C2C2-YABBY",0,"SDH_plastid",2,NA,NA,2,NA,NA,NA,NA
"ACO","cytosol","C2H2",5,"ACO_cytosol",71,65,60,66,831,7.69230769230769,0.533637384833969,1
"CSY","cytosol","C2H2",0,"CSY_cytosol",71,NA,NA,71,NA,NA,NA,NA
"FUM","cytosol","C2H2",6,"FUM_cytosol",71,39,33,65,858,15.3846153846154,0.0606333549075531,1
"ICDH","cytosol","C2H2",8,"ICDH_cytosol",71,173,165,63,726,4.6242774566474,0.960998090871017,1
"MDH","cytosol","C2H2",9,"MDH_cytosol",71,215,206,62,685,4.18604651162791,0.989239377549336,1
"OGDH","cytosol","C2H2",0,"OGDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"PDH","cytosol","C2H2",0,"PDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"SCL","cytosol","C2H2",0,"SCL_cytosol",71,NA,NA,71,NA,NA,NA,NA
"SDH","cytosol","C2H2",0,"SDH_cytosol",71,NA,NA,71,NA,NA,NA,NA
"ACO","mitochondrion","C2H2",19,"ACO_mitochondrion",71,214,195,52,696,8.8785046728972,0.208766311062778,1
"CSY","mitochondrion","C2H2",11,"CSY_mitochondrion",71,167,156,60,735,6.58682634730539,0.716931766332042,1
"FUM","mitochondrion","C2H2",7,"FUM_mitochondrion",71,46,39,64,852,15.2173913043478,0.0461188226570285,1
"ICDH","mitochondrion","C2H2",18,"ICDH_mitochondrion",71,202,184,53,707,8.91089108910891,0.213515551264636,1
