"","tffam","enzloc","pval"
"111","TCP","CSY_mitochondrion",1
"112","SBP","CSY_mitochondrion",0.783794974346001
"113","G2-like","CSY_mitochondrion",0.655788556790886
"114","C3H","CSY_mitochondrion",0.985679724955892
"115","CPP","CSY_mitochondrion",0.435984387743623
"116","GRF","CSY_mitochondrion",1
"117","REM","CSY_mitochondrion",0.349752601731685
"118","Homeobox","CSY_mitochondrion",0.79402933404256
"119","PHD","CSY_mitochondrion",0.173596673596673
"120","C2C2-Dof","CSY_mitochondrion",0.988223858926494
"121","WRKY","CSY_mitochondrion",0.999390951408055
"122","CCAAT-DR1","CSY_mitochondrion",1
"123","ARF","CSY_mitochondrion",0.594848429352861
"124","RAV","CSY_mitochondrion",0.540349640277645
"125","NLP","CSY_mitochondrion",1
"126","ARR-B","CSY_mitochondrion",0.682514549160108
"127","ZF-HD","CSY_mitochondrion",1
"128","Whirly","CSY_mitochondrion",1
"129","BBR/BPC","CSY_mitochondrion",0.279830471006219
"130","MYB-related","CSY_mitochondrion",0.55165883803814
"131","GRAS","CSY_mitochondrion",1
"132","BZR","CSY_mitochondrion",0.61540053613446
"133","Alfin-like","CSY_mitochondrion",1
"134","HSF","CSY_mitochondrion",1
"135","CAMTA","CSY_mitochondrion",1
"136","VOZ","CSY_mitochondrion",1
"137","CCAAT-HAP3","CSY_mitochondrion",0.534201913548435
"138","CCAAT-HAP5","CSY_mitochondrion",1
"139","C2C2-CO-like","CSY_mitochondrion",1
"140","C2C2-YABBY","CSY_mitochondrion",1
"141","ABI3VP1","CSY_mitochondrion",1
"142","CCAAT-HAP2","CSY_mitochondrion",0.435984387743623
"143","TUB","CSY_mitochondrion",1
"144","ZIM","CSY_mitochondrion",1
"145","bHLH","CSY_peroxisome",0.803649195901925
"146","MYB","CSY_peroxisome",0.998650490274671
"147","E2F-DP","CSY_peroxisome",1
"148","AP2-EREBP","CSY_peroxisome",0.694592767999295
"149","Trihelix","CSY_peroxisome",0.00534577769187181
"150","ARID","CSY_peroxisome",0.051835509849295
"151","C2H2","CSY_peroxisome",0.806789403355531
"152","GeBP","CSY_peroxisome",0.00123616036198575
"153","NAC","CSY_peroxisome",0.228974039690205
"154","C2C2-Gata","CSY_peroxisome",1
"155","bZIP","CSY_peroxisome",0.0102152395538539
"156","EIL","CSY_peroxisome",1
"157","LBD","CSY_peroxisome",0.00648078435214266
"158","MADS","CSY_peroxisome",1
"159","TCP","CSY_peroxisome",5.4029931201597e-05
"160","SBP","CSY_peroxisome",0.361710459849203
"161","G2-like","CSY_peroxisome",0.774756295036774
"162","C3H","CSY_peroxisome",0.881300141082496
"163","CPP","CSY_peroxisome",0.065072927325789
"164","GRF","CSY_peroxisome",0.4929834637166
"165","REM","CSY_peroxisome",0.299916805921621
"166","Homeobox","CSY_peroxisome",0.96167878479467
"167","PHD","CSY_peroxisome",0.155925155925156
"168","C2C2-Dof","CSY_peroxisome",0.896477390735272
"169","WRKY","CSY_peroxisome",0.988410420061327
"170","CCAAT-DR1","CSY_peroxisome",0.287674611295839
"171","ARF","CSY_peroxisome",0.238651511794029
"172","RAV","CSY_peroxisome",1
"173","NLP","CSY_peroxisome",0.4929834637166
"174","ARR-B","CSY_peroxisome",1
"175","ZF-HD","CSY_peroxisome",0.130217015418967
"176","Whirly","CSY_peroxisome",1
"177","BBR/BPC","CSY_peroxisome",0.237237103849563
"178","MYB-related","CSY_peroxisome",0.838405688176695
"179","GRAS","CSY_peroxisome",0.870872432847493
"180","BZR","CSY_peroxisome",0.572370186516715
"181","Alfin-like","CSY_peroxisome",1
"182","HSF","CSY_peroxisome",0.639396803050145
"183","CAMTA","CSY_peroxisome",1
"184","VOZ","CSY_peroxisome",1
"185","CCAAT-HAP3","CSY_peroxisome",0.116951421973658
"186","CCAAT-HAP5","CSY_peroxisome",1
"187","C2C2-CO-like","CSY_peroxisome",1
"188","C2C2-YABBY","CSY_peroxisome",1
"189","ABI3VP1","CSY_peroxisome",0.287674611295839
"190","CCAAT-HAP2","CSY_peroxisome",1
"191","TUB","CSY_peroxisome",1
"192","ZIM","CSY_peroxisome",1
"193","bHLH","FUM_cytosol",1
"194","MYB","FUM_cytosol",1
"195","E2F-DP","FUM_cytosol",1
"196","AP2-EREBP","FUM_cytosol",0.952795608719483
"197","Trihelix","FUM_cytosol",0.0818059292288852
"198","ARID","FUM_cytosol",0.220398752422574
"199","C2H2","FUM_cytosol",0.0606333549075531
"200","GeBP","FUM_cytosol",0.487006806437588
"201","NAC","FUM_cytosol",0.798981922729203
"202","C2C2-Gata","FUM_cytosol",0.207791113587387
"203","bZIP","FUM_cytosol",1
"204","EIL","FUM_cytosol",1
"205","LBD","FUM_cytosol",0.00295949304870831
"206","MADS","FUM_cytosol",1
"207","TCP","FUM_cytosol",1
"208","SBP","FUM_cytosol",1
"209","G2-like","FUM_cytosol",0.649375761884332
"210","C3H","FUM_cytosol",0.00996798759196826
"211","CPP","FUM_cytosol",1
"212","GRF","FUM_cytosol",1
"213","REM","FUM_cytosol",1
"214","Homeobox","FUM_cytosol",1
"215","PHD","FUM_cytosol",0.0405405405405403
"216","C2C2-Dof","FUM_cytosol",1
"217","WRKY","FUM_cytosol",1
"218","CCAAT-DR1","FUM_cytosol",1
"219","ARF","FUM_cytosol",1
"220","RAV","FUM_cytosol",1
"221","NLP","FUM_cytosol",1
"222","ARR-B","FUM_cytosol",1
"223","ZF-HD","FUM_cytosol",1
"224","Whirly","FUM_cytosol",1
"225","BBR/BPC","FUM_cytosol",1
"226","MYB-related","FUM_cytosol",1
"227","GRAS","FUM_cytosol",0.393193483664307
"228","BZR","FUM_cytosol",1
"229","Alfin-like","FUM_cytosol",1
"230","HSF","FUM_cytosol",0.220398752422574
"231","CAMTA","FUM_cytosol",1
"232","VOZ","FUM_cytosol",1
"233","CCAAT-HAP3","FUM_cytosol",1
"234","CCAAT-HAP5","FUM_cytosol",1
"235","C2C2-CO-like","FUM_cytosol",1
"236","C2C2-YABBY","FUM_cytosol",1
"237","ABI3VP1","FUM_cytosol",1
"238","CCAAT-HAP2","FUM_cytosol",1
"239","TUB","FUM_cytosol",1
